sample_id	label	1,2-anhydro-myo-inositol	1-hexadecanol	2-hydroxyglutaric acid	2-isopropylmalic acid	2-ketoisocaproic acid	3,6-anhydrogalactose	3-hydroxy-3-methylglutaric acid	4-hydroxyproline	alanine	alpha ketoglutaric acid	arabinose	arabitol	arachidic acid	asparagine	aspartic acid	behenic acid	benzoic acid	beta alanine	butyl stearate	caffeic acid	cellobiose	cis-caffeic acid	citramalate	citric acid	citrulline	conduritol-beta-epoxide	cysteine	dehydroascorbate	erythritol	fructose	fucose	GABA	galactinol	galactonic acid	galactose	galacturonic acid	glucoheptulose	gluconic acid	glucose	glucuronic acid	glutamic acid	glyceric acid	glycerol	glycerol-3-galactoside NIST	glycerol-alpha-phosphate	glycine	guanine	heptadecanoic acid	homoserine	indole-3-lactate	inositol myo-	inulobiose	isocitric acid	isogalactinol	isoleucine	isothreonic acid	lactic acid	Lauric acid	leucine	lysine	lyxitol	malate	maleic acid	maltose	mannitol	melibiose	methionine	N-acetyl-D-hexosamine	N-acetyl-D-mannosamine	nicotianamine	octadecanol	Oleic acid	ornithine	oxoproline	palmitic acid	pelargonic acid	phenylalanine	pipecolic acid	proline	pseudo uridine	putrescine	quinic acid	ribonic acid	ribose	saccharopine	serine	shikimic acid	sophorose	sorbitol	spermidine	Stearic acid	suberyl glycine	succinic acid	talose	tartaric acid	threitol	threonic acid	threonine	trehalose	tryptophan	tyrosine	uracil	urea	uridine	valine	xanthine	xylitol	xylose	variety	variety_group
string	string	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	discrete
meta	meta																																																																																																													meta	class
421799	Chardonnay, Monterey, CA 2003	8539	1641	61095	5915	491	760	1587	22235	397380	2644	34938	5208	1133	7406	50279	1483	4091	17443	3737	1563	1366	1438	9846	92113	13988	36262	961	7331	59514	54018	10192	336497	535	1002	16126	70204	2192	2575	182031	3134	13650	2991	2.27603e+06	4030	1316	79343	505	1740	4524	1983	132387	734	4323	1471	17827	3131	124823	5264	61911	42522	3006	293437	281499	1101	136673	1589	2213	8563	8874	302	1041	206	80607	451632	8102	16466	15198	7847	2.54895e+06	1703	14746	2184	1721	4479	713	39692	47312	2002	59730	1040	41663	882	651008	2020	304469	6818	4672	21390	415	1421	40930	18975	4794	281	42170	348	2793	14014	Chardonnay	Chardonnay
421803	Chardonnay, Monterey, CA 2003	9320	3497	71016	6169	609	663	2398	21651	480591	2744	38424	6083	1392	16663	59257	2266	2884	19517	2247	2295	2875	1960	11615	122961	14631	48440	2170	9036	64049	67215	9647	394206	1284	1396	16906	100490	3119	3453	222092	1731	18106	1445	638088	6475	2293	88564	809	813	4233	2906	181343	938	5268	3279	19802	3145	144456	15951	71699	52453	3876	349345	346242	1811	99926	3622	5315	9687	11712	525	942	280	140269	506652	8815	8921	17995	9311	3.2717e+06	2438	16757	2220	1851	4899	798	44146	59370	4431	73473	1514	52062	2394	690693	4738	337047	8185	5115	23916	1704	1683	50177	8115	4261	197	46281	403	2639	16765	Chardonnay	Chardonnay
421807	Chardonnay, Monterey, CA 2003	9788	2885	67203	6312	463	895	1915	16640	446916	2847	37598	6150	1248	14417	54571	1614	3273	18486	3127	2163	2720	1865	11517	122311	20348	47048	85	8734	71527	68659	10644	384763	1308	1318	14548	105555	3645	3596	228401	2096	15653	4668	691649	6186	2177	88644	668	2209	4614	2723	171009	1065	5297	3878	18758	3088	126051	5210	67072	54523	3553	347679	330598	1783	107380	3988	4914	13256	11649	480	1284	203	97568	506502	8543	7599	19003	9394	3.32134e+06	646	16159	2257	1946	4878	719	39807	57203	4494	73738	1243	53226	1533	746724	2240	340228	7404	4966	20172	1568	1681	51917	2621	3946	214	45758	570	2806	15252	Chardonnay	Chardonnay
421811	Chardonnay, Monterey, CA 2003	10602	1047	79029	7484	602	1013	1725	29104	497994	3489	41197	6666	1247	12153	62392	2324	4474	21889	835	3878	2274	2892	13266	138457	16889	49809	1221	9567	67584	72898	14157	435939	909	1211	23941	100871	3368	3471	256995	2142	18385	5347	526041	6160	2607	100086	796	1565	4910	2821	163793	897	5800	2610	22316	3793	145898	16433	74995	54950	4491	367509	357670	1740	96059	2680	2494	9239	12895	414	633	140	107220	603146	4621	8510	14977	10735	2.93097e+06	563	19485	2502	2182	5367	865	53251	61178	3196	78760	1180	33248	1153	823222	2598	371792	9204	5855	24762	903	1548	53905	24090	2252	353	57837	641	2324	19042	Chardonnay	Chardonnay
421815	Chardonnay, Monterey, CA 2003	9166	3357	72039	6771	626	742	2240	19334	478120	3110	28582	6381	1428	17227	61443	1776	2661	19284	2591	1746	1801	2028	12077	125874	16154	47279	2100	9046	69878	69170	9907	394319	748	1349	16816	101930	2699	3613	223003	1682	18569	2720	794373	5636	1249	91473	683	2271	4613	2512	175678	511	5871	2047	19466	3391	132021	3249	71322	53261	3471	318578	343972	1578	112193	2299	5365	10287	12058	461	771	217	139812	541553	9056	4592	18698	9356	3.06146e+06	390	17024	2396	2024	5331	777	43945	58496	3186	68769	1132	50163	2497	760646	3877	353899	5232	5280	19235	598	1757	50184	8799	4173	202	46859	497	2878	15051	Chardonnay	Chardonnay
421819	Chardonnay, Monterey, CA 2003	7901	2022	57029	5334	378	745	1678	17986	469770	2145	32463	5237	971	14739	48730	1581	2636	15068	1417	1986	1821	1095	9375	111466	13374	44697	851	7728	59866	62030	8627	323993	1053	1167	15751	104243	3071	3161	210785	1713	15065	2343	1.2487e+06	5442	1641	71630	566	2113	3521	2713	173304	810	4474	3396	14821	2897	142742	13527	59662	46366	3261	322119	334345	1690	108213	2744	4287	10044	10864	445	855	168	123212	411912	8496	6378	15432	7272	3.26096e+06	2889	14934	2109	1675	4376	694	31256	48925	3867	75020	1294	51839	2022	609492	2329	316328	6283	4442	16694	1432	1902	43085	4800	3440	76	36613	365	2634	14337	Chardonnay	Chardonnay
421824	Chardonnay, Napa, CA 2003	9419	1328	40510	3178	414	1570	919	11001	186493	1100	35726	4323	1511	11961	28474	1989	3140	12017	1247	2578	12102	1100	20237	38030	1228	45101	2074	8378	56198	109086	12327	228642	1877	986	13963	103333	2658	574	255118	1703	10482	3089	951606	8992	438	77469	1260	2413	3868	720	235893	2074	3518	4444	32348	2937	1.68281e+06	14007	105278	64444	2839	15874	235018	2892	504908	10226	6247	11387	12236	561	808	95	9837	133393	12827	8706	22591	7472	2.27954e+06	3068	10360	5311	2129	6578	419	19702	43757	6117	73392	1503	73820	914	667532	2215	458379	7142	5731	14176	1989	2660	36842	9504	1546	29	53505	454	1900	30192	Chardonnay	Chardonnay
421828	Chardonnay, Napa, CA 2003	9927	1254	43173	2881	677	1044	1950	9688	203756	1187	30549	4439	1696	2084	28906	2449	3846	12345	1319	2486	10563	1040	21865	37859	1252	45440	125	8756	63717	121794	14733	241849	1603	862	18226	106554	3742	561	280197	1794	10819	2602	1.12537e+06	8984	1526	81630	1458	2461	3787	960	256261	1623	3857	4453	32874	3097	1.98079e+06	7337	100339	66258	2989	16796	204008	3254	571575	8703	6328	10981	13788	437	682	262	10537	146025	8031	10395	22827	7224	1.61222e+06	2556	11156	5544	2575	6196	565	21018	51480	5430	73513	1641	58742	1123	638995	2047	492249	7120	5899	18092	2053	2217	39196	7076	3209	173	55355	550	1913	30652	Chardonnay	Chardonnay
421832	Chardonnay, Napa, CA 2003	9378	1326	46142	3254	790	1647	2547	12430	185469	2028	37023	5718	2022	11586	35355	3147	8676	12162	11179	2166	9934	1319	24008	43062	1642	44687	776	8859	54858	119615	13958	225921	1816	1105	14603	109625	4013	811	251501	2035	10495	2562	877710	9739	999	79242	1604	2408	5288	1116	216208	1474	4211	3964	35678	3290	1.39923e+06	5013	114135	71592	2766	17970	241001	3264	490251	7916	7530	12147	13038	416	903	589	17112	159908	9312	15557	25836	6678	2.42318e+06	3076	11464	5746	2613	6883	630	26774	48075	5984	59471	1876	65393	1014	777718	2482	483561	7453	6695	18126	1969	2820	40806	12655	1549	318	56206	524	2078	31353	Chardonnay	Chardonnay
421836	Chardonnay, Napa, CA 2003	11741	1345	55621	3807	574	1644	1930	11539	186988	1277	41911	4621	2363	10522	34377	3144	4998	14414	11703	2561	15398	2026	25760	50415	1787	49632	739	10012	68680	120409	14739	253155	2521	1344	16310	122069	4163	791	274325	11514	9804	1712	719328	11445	938	90754	1672	2377	4576	922	228170	1932	5145	5712	37618	3708	1.54274e+06	11016	116278	80386	3439	19353	223483	4518	524472	10667	7058	14305	16023	769	944	420	9076	185631	12184	15113	26423	8242	2.11692e+06	980	12579	5947	3009	7371	449	25415	53082	7013	78180	1791	88651	1766	725396	2289	519405	8133	7346	20280	2461	3100	45993	17084	1611	358	59160	755	2306	35049	Chardonnay	Chardonnay
